ID,URL,Enabled,Name,Description,Version,HomepageURL
ghbmnnjooekpmoecnnnilnnbdlolhkhi,https://chrome.google.com/webstore/detail/ghbmnnjooekpmoecnnnilnnbdlolhkhi,true,Google Документы офлайн,"Создавайте, просматривайте и редактируйте документы, таблицы и презентации без доступа к Интернету.",1.83.1,
llbcnfanfmjhpedaedhbcnpgeepdnnok,https://chrome.google.com/webstore/detail/llbcnfanfmjhpedaedhbcnpgeepdnnok,false,Online Security,"Powering your web experience with a reliable, endpoint protection layer.",6.6.1,
