TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Ученик-15\Downloads\ОБАЛДЕННАЯ ПЕСНЯ НА 8 МАРТА! Красивое поздравление с 8 марта! Музыкальная видео открытка ! 8 марта!.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,17597207,2024-03-07T12:01:20.139632+05:00,2024-03-07T12:01:22.839474+05:00,video/mp4
"C:\Users\Ученик-15\Downloads\Экологические проблемы, загрязнение окружающей среды. Красота Земли..mp4",https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,4584350,2024-02-29T11:25:09.197761+05:00,2024-02-29T11:25:10.179029+05:00,video/mp4
C:\Users\Ученик-15\Downloads\744667-male-lion-faces-wallpaper-2048x1423-for-meizu.jpg,https://www.bing.com/images/search?view=detailV2&ccid=8hnW%2bCPM&id=ACD29699B363288C4B12D09AAFCFFF64EE43676D&thid=OIP.8hnW-CPM7Ebv36DdbqrXyAHaFJ&mediaurl=https%3a%2f%2fplacepic.ru%2fwp-content%2fuploads%2f2019%2f04%2f744667-male-lion-faces-wallpaper-2048x1423-for-meizu.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.f219d6f823ccec46efdfa0dd6eaad7c8%3frik%3dbWdD7mT%252fz6%252ba0A%26pid%3dImgRaw%26r%3d0&exph=1423&expw=2048&q=%d0%ba%d0%b0%d1%80%d1%82%d0%b8%d0%bd%d0%ba%d0%b0+%d0%bb%d1%8c%d0%b2%d0%b0&simid=608026473375207032&FORM=IRPRST&ck=B84DDA5F03E9CD61AAB5AA900C6DDDAC&selectedIndex=0&itb=0&idpp=overlayview&ajaxhist=0&ajaxserp=0,1139195,2024-02-08T08:36:41.249869+05:00,2024-02-08T08:36:45.98001+05:00,image/jpeg
C:\Users\Ученик-15\Downloads\1-121.jpg,https://www.bing.com/images/search?view=detailV2&ccid=den60V2Q&id=BF10861E8BCD12A0B4E8CA06E223C85E99904C92&thid=OIP.den60V2QXRXaFxjI3hCFkwHaEK&mediaurl=https%3a%2f%2fweb-zoopark.ru%2fwp-content%2fuploads%2f2018%2f07%2f1-121.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.75e9fad15d905d15da1718c8de108593%3frik%3dkkyQmV7II%252bIGyg%26pid%3dImgRaw%26r%3d0&exph=1080&expw=1920&q=%d0%9b%d1%8c%d0%b2%d1%8b&simid=608050233121445997&FORM=IRPRST&ck=7DA7B74CEC7FB20FA73347A289C0A549&selectedIndex=3&itb=0&ajaxhist=0&ajaxserp=0,526633,2024-02-08T08:42:41.418869+05:00,2024-02-08T08:42:45.676186+05:00,image/jpeg
C:\Users\Ученик-15\Downloads\R.jpg,https://www.bing.com/images/search?view=detailV2&ccid=98l26zkp&id=4DF9CB7A2D91C172E3D728BE15A240E6FCF852F2&thid=OIP.98l26zkpXsYpIb7aKTEd3AHaHa&mediaurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.f7c976eb39295ec62921beda29311ddc%3frik%3d8lL4%252fOZAohW%252bKA%26riu%3dhttp%253a%252f%252fzoogalaktika.ru%252fassets%252fimages%252fdefault%252fmoderate.jpg%26ehk%3du2cKZ235GFJN3G3y0affEcyWsEB8IsI2dDw1u1IXu5k%253d%26risl%3d%26pid%3dImgRaw%26r%3d0&exph=800&expw=800&q=%d0%b6%d0%b8%d0%b2%d0%be%d1%82%d0%bd%d1%8b%d0%b5+%d0%ba%d0%b0%d1%80%d1%82%d0%b8%d0%bd%d0%ba%d0%b8&simid=608047939623587921&FORM=IRPRST&ck=198663BA2AD9EDF866977CCA2D2B977D&selectedIndex=2&itb=0&ajaxhist=0&ajaxserp=0,271646,2024-02-08T11:15:10.51976+05:00,2024-02-08T11:15:56.709885+05:00,image/jpeg
