ID,URL,Enabled,Name,Description,Version,HomepageURL
ghbmnnjooekpmoecnnnilnnbdlolhkhi,https://chrome.google.com/webstore/detail/ghbmnnjooekpmoecnnnilnnbdlolhkhi,false,Google Документы офлайн,"Создавайте, просматривайте и редактируйте документы, таблицы и презентации без доступа к Интернету.",1.82.1,
jcpgbnbdnakoblgfkbgggankeidkfcdl,https://microsoftedge.microsoft.com/addons/detail/jcpgbnbdnakoblgfkbgggankeidkfcdl,false,Online Security,"Powering your web experience with a reliable, endpoint protection layer.",6.6.1,
